,Nombre
9003,Kia CEED TOURER 1.0 T-GDI 120 CV (88KW) TECH
9004,Kia CEED TOURER 1.0 TGDI 120cv CONCEPT
9029,Kia N.OPTIMA 1.6 CRDi VGT Business DCT Eco-Dyn
9030,Kia N.OPTIMA 1.6 CRDi VGT Business Eco-Dyn
9306,Kia STINGER (CK) 2.0 T-GDi GT Line 4x2
9779,Mahindra GOA AUTOTELAIO 2WD DC
9780,Mahindra GOA AUTOTELAIO 2WD SC
9782,Mahindra GOA AUTOTELAIO 4WD SC
10043,Mercedes-Benz Clase A Compacto (W177) 250 4MATIC aut.
10044,Mercedes-Benz Clase A Compacto (W177) 35 4MATIC+
10045,Mercedes-Benz Clase A Sedán (V177) 180 aut.
10115,Mercedes-Benz Clase E Berlina (W213) 63 S 4MATIC+
10116,Mercedes-Benz Clase E Cabrio (A238) 220 d
10117,Mercedes-Benz Clase E Cabrio (A238) 220 d 4MATIC
10132,Mercedes-Benz Clase E Estate (S213) 220 d
10133,Mercedes-Benz Clase E Estate (S213) 220 d 4MATIC
10150,Mercedes-Benz Clase S Berlina Corta (W222) 450 (FL)
10175,Mercedes-Benz Clase V V200 d 4MATIC BE extralarga AUT.
10647,"Mercedes-Benz Sprinter 314 CDI CHASIS CABINA COMPACTO man. (i=4,182) (euro VI-C)"
10649,"Mercedes-Benz Sprinter 314 CDI CHASIS CABINA LARGO aut. (i=4,182) (euro VI-C)"
10736,"Mercedes-Benz Sprinter 314 CDI MIXTO COMPACTO BE aut. (i=4,182) (euro 6)"
10737,"Mercedes-Benz Sprinter 314 CDI MIXTO COMPACTO BE aut. (i=4,182) (euro VI)"
10776,"Mercedes-Benz Sprinter 314 CDI tT CHASIS DOBLE CABINA MEDIO AUT. (i = 4,182) (Euro 6c Clase III)"
10778,"Mercedes-Benz Sprinter 314 CDI tT CHASIS DOBLE CABINA MEDIO MAN. (i = 4,182) (Euro 6c Clase III)"
10792,"Mercedes-Benz Sprinter 316 CDI CHASIS CABINA MEDIO BE aut. (i=3,923) (euro 6)"
11005,"Mercedes-Benz Sprinter 319 CDI CHASIS CABINA MEDIO BE aut. (i=3,923) (Euro VI-C)"
11007,"Mercedes-Benz Sprinter 319 CDI CHASIS CABINA MEDIO man. (i=3,923) (Euro VI-C)"
11008,"Mercedes-Benz Sprinter 319 CDI CHASIS DOB. CAB. COMPACTO aut. (i=3,923) (Euro VI-C)"
11018,"Mercedes-Benz Sprinter 319 CDI CHASIS DOB. CAB. MEDIO BE man. (i=3,923) (Euro VI-C)"
11019,"Mercedes-Benz Sprinter 319 CDI CHASIS DOB. CAB. MEDIO man. (i=3,923) (Euro VI-C)"
11145,"Mercedes-Benz Sprinter 414 CDI tT CHASIS DOBLE CABINA LARGO AUT. (i = 4,182) (Euro VI C)"
11146,"Mercedes-Benz Sprinter 414 CDI tT CHASIS DOBLE CABINA LARGO MAN. (i = 4,182) (Euro 6c Clase III)"
11602,Mercedes-Benz Vito 114 CDI 4MATIC BE TOURER extralarga AUT.
11603,Mercedes-Benz Vito 114 CDI 4MATIC BE TOURER larga AUT.
11605,Mercedes-Benz Vito 114 CDI BE FURGON compacta MAN. (euro 6)
11732,MINI 3 puertas COOPER AUTOMÁTICO
11733,MINI 3 puertas COOPER MANUAL
11734,MINI 3 puertas COOPER S AUTOMÁTICO
11735,MINI 3 puertas COOPER S MANUAL
11736,MINI 3 puertas COOPER SE
11737,MINI 3 puertas JOHN COOPER WORKS AUTOMÁTICO
11738,MINI 3 puertas JOHN COOPER WORKS MANUAL
11739,MINI 3 puertas ONE AUTOMÁTICO
11740,MINI 3 puertas ONE MANUAL
11741,MINI 5 puertas COOPER AUTOMÁTICO
11742,MINI 5 puertas COOPER MANUAL
11743,MINI 5 puertas COOPER S AUTOMÁTICO
11744,MINI 5 puertas COOPER S MANUAL
11745,MINI 5 puertas ONE AUTOMÁTICO
11746,MINI 5 puertas ONE MANUAL
11747,MINI CABRIO COOPER AUTOMÁTICO
11748,MINI CABRIO COOPER MANUAL
11749,MINI CABRIO COOPER S AUTOMÁTICO
11750,MINI CABRIO COOPER S MANUAL
11751,MINI CABRIO JOHN COOPER WORKS AUTOMÁTICO
11752,MINI CABRIO ONE MANUAL
11753,MINI Clubman COOPER AUTOMÁTICO
11754,MINI Clubman COOPER D AUTOMÁTICO
11755,MINI Clubman COOPER D MANUAL
11756,MINI Clubman COOPER MANUAL
11757,MINI Clubman COOPER S ALL4 AUTOMÁTICO
11758,MINI Clubman COOPER S AUTOMÁTICO
11759,MINI Clubman COOPER S MANUAL
11760,MINI Clubman COOPER SD AUTOMÁTICO
11761,MINI Clubman COOPERS SD ALL4 AUTOMÁTICO
11762,MINI Clubman JOHN COOPER WORKS ALL4 AUTOMÁTICO
11763,MINI Clubman ONE AUTOMÁTICO
11764,MINI Clubman ONE D AUTOMÁTICO
11765,MINI Clubman ONE D MANUAL
11766,MINI Clubman ONE MANUAL
11767,MINI COUNTRYMAN COOPER ALL4 AUTOMÁTICO
11768,MINI COUNTRYMAN COOPER ALL4 MANUAL
11769,MINI COUNTRYMAN COOPER AUTOMÁTICO
11770,MINI COUNTRYMAN COOPER D ALL4 AUTOMÁTICO
11771,MINI COUNTRYMAN COOPER D ALL4 MANUAL
11772,MINI COUNTRYMAN COOPER D AUTOMÁTICO
11773,MINI COUNTRYMAN COOPER D MANUAL
11774,MINI COUNTRYMAN COOPER MANUAL
11775,MINI COUNTRYMAN COOPER S ALL4 AUTOMÁTICO
11776,MINI COUNTRYMAN COOPER S AUTOMÁTICO
11777,MINI COUNTRYMAN COOPER S MANUAL
11778,MINI COUNTRYMAN COOPER SD ALL4 AUTOMÁTICO
11779,MINI COUNTRYMAN COOPER SD AUTOMÁTICO
11780,MINI COUNTRYMAN COOPER SE ALL4
11781,MINI COUNTRYMAN JOHN COOPER WORKS ALL4 AUTOMÁTICO
